title	question	answer	annotated	llama_elect4	llama_elect4_score	llama_geval	llama_geval_score	llama_dp	llama_dp_score	llama_dp4	llama_dp4_score
"K&H Pet Products Ice Eliminator Original Birdbath Deicer Natural 2.75"" x 6.5"" 50W"	how warm is the water? Just warm enough to keep from freezing or is the water actually warm?	it is just warm enough to keep from freezing.	3.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '3', '2', '2', '2', '3', '2', '3', '2']	2.3
"Orbit 10060 - 3/8"" Professional Misting System for Outdoor Cooling"	what is the easy way to connet to the pump	attach the copper rods	2.6666666666666665	['1', '2', '2', '1', '1', '2', '1', '1', '2', '2']	1.5	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '1', '1', '1', '1', '1', '1', '1', '2']	1.3	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0
GAS ONE Portable Butane Gas Stove With 4 Butane Fuel by GASONE	Will this cook up scrambled eggs pretty quickly?	Yes.  It's quick and powerful for its size.	2.6666666666666665	['2', '2', '2', '2', '2', '3', '2', '2', '2', '2']	2.1	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '1', '1', '2', '1', '2', '2', '2']	1.7	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0
P3 International P7901 Mole Chaser	my yard is about an 150feet by 150 feet how many should i get	how many chasers should i get?	0.3333333333333333	['1', '0', '1', '1', '0', '1', '1', '1', '1', '0']	0.7	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['0', '1', '0', '1', '1', '1', '1', '1', '1', '0']	0.7	['1', '1', '0', '1', '1', '1', '1', '0', '1', '0']	0.7
Rubbermaid Outdoor Patio Storage Bench, 4 cu. ft., Olive/Sandstone (FG376401OLVSS)	How difficult is it to put this togather?	it's a little difficult	1.6666666666666667	['3', '2', '2', '2', '3', '3', '3', '2', '2', '3']	2.5	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '3']	2.1	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0
Onward Manufacturing Company Non-Stick Flat Spit Rotisserie Grill Basket	How do you hook it to rotissere?	with a couple of screws	1.3333333333333333	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['3', '3', '2', '2', '2', '2', '2', '2', '2', '2']	2.2	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0
Systemic Granules .22% 4 lb.	Don't know what is eating my bougenvillias, but they have a huge appetite. What should I try?	this product works great	0.6666666666666666	['1', '0', '1', '1', '1', '1', '1', '1', '1', '1']	0.9	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0
Black & Decker LM175 18-Inch 6-1/2 amp Electric Mower	Need to know how much it weighs. Have to carry it up steps;	need to know how much it weighs. Have to carry it up steps;	0.3333333333333333	['2', '2', '2', '1', '1', '2', '1', '1', '2', '1']	1.5	['1', '2', '2', '1', '2', '1', '1', '2', '2', '1']	1.5	['2', '1', '1', '2', '1', '1', '2', '1', '1', '1']	1.3	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0
Stinger Indoor Insect Trap	the number of 1 star and 5 stars reviews are equal, I have indoor mosquito issue, what should do? buy ot no buy?	give it 5 stars	0.3333333333333333	['2', '2', '2', '0', '0', '0', '0', '2', '1', '2']	1.1	['2', '1', '1', '2', '1', '2', '1', '1', '2', '2']	1.5	['1', '2', '1', '2', '1', '1', '1', '2', '1', '2']	1.4	['1', '0', '0', '2', '2', '1', '2', '2', '2', '2']	1.4
Char-Broil Deluxe 1010 3-Burner Liquid Propane and Charcoal Combo Grill	Is this LP Gas or Natural Gas?	It's standard LP gas.	2.6666666666666665	['2', '2', '2', '2', '2', '3', '2', '2', '2', '2']	2.1	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['3', '3', '3', '2', '2', '3', '3', '3', '3', '3']	2.8	['2', '2', '3', '2', '2', '3', '2', '2', '3', '3']	2.4
Little Cado Dwarf Avocado Tree Five Gallon	how cold tolerant is the tree, I'm in no Ca and we do get frost and into the mid 20s	it is very cold tolerant	2.6666666666666665	['2', '3', '2', '2', '2', '3', '2', '2', '2', '3']	2.3	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['3', '3', '2', '2', '2', '3', '3', '2', '2', '2']	2.4	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0
Fiskars 18 Inch PowerGear Bypass Lopper (96256935J)	how do you get the plastic guards that come on the new ones off?	remove the plastic guards manually.	2.0	['2', '2', '3', '2', '3', '2', '3', '2', '2', '2']	2.3	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '3', '3', '3', '2', '3', '3', '2', '2', '3']	2.6	['2', '3', '2', '3', '2', '3', '2', '3', '2', '2']	2.4
Suncast PW100 Powerwind 100-Foot Capacity Automatic Rewind Garden Hose Reel	Is there a way to secure it to a wall or floor so it  stays put as it rewinds?	need to find a way to anchor it down in the concrete floor	1.3333333333333333	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0
Suncast PB6700 Patio Bench, Light Taupe	How to put it togetrher,  no instructions	it came with no instructions	1.0	['2', '2', '1', '2', '2', '2', '2', '2', '2', '2']	1.9	['2', '2', '2', '2', '2', '2', '2', '2', '2', '1']	1.9	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0
Plast-aid Multipurpose Repair Plastic - 6oz Kit Pool and Spa Repair	Will this bond to ABS and successfully repair cracks and holes in a hard shell roof top carrier?	My guess something like 80-90 lbs.  Mostly large and awkward.	0.0	['1', '1', '1', '1', '1', '0', '0', '1', '1', '1']	0.8	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0
Varicraft Avian Mixed Seed Feeder (Model AV-1MNP)	Are the openings in the cage large enough for woodpeckers, cardinals & scrub jays?	the openings are too small for them	3.0	['2', '2', '2', '2', '3', '2', '2', '3', '2', '2']	2.2	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0
Black & Decker GH1100 Grass Hog XP 14-Inch 7.2 Amp Electric String Trimmer/Edger	Why does the string on my grass hog get  inside the machine such that I have to carry it to a shop to get it out? This has happened more than once.	it gets inside the machine more than once.	1.5	['1', '1', '1', '1', '1', '1', '2', '1', '2', '2']	1.3	['1', '1', '2', '2', '1', '1', '1', '1', '1', '1']	1.2	['1', '1', '1', '1', '1', '1', '1', '1', '2', '2']	1.2	['2', '1', '1', '2', '1', '2', '2', '2', '2', '1']	1.6
Easy Street Electric Cart Grill with two folding, composite-wood side tables, shelf and rotisserie	How do you install the rotisserie?	it takes about 25 minutes to take apart.	1.0	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '2', '1', '1', '1', '1', '1', '2', '1', '1']	1.2
Classic Accessories Veranda Oval/Rectangular Patio Table & Chair Set Cover - Durable and Water Resistant Outdoor Furniture Cover, Pebble, Large, up to 108 Inches Long (70932)	What is the measurement,s for ordering a cover?	the size of the table	1.0	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['2', '1', '1', '2', '2', '2', '2', '2', '2', '2']	1.8
Orbit 10106 Brass and Stainless Steel Mist Nozzle, 5-Pack	where do you get the tee fitting that the nozzle goes in?	the bottom of the T	0.5	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '1', '2', '1', '2', '2']	1.8	['2', '2', '2', '2', '2', '2', '2', '2', '1', '2']	1.9
Perky-Pet 339 Squirrel Be Gone II Feeder Home with Chimney	How do you buy the pole mount?	you can mount it on a pole with an anti squirrel cone on it.	1.6666666666666667	['2', '2', '2', '2', '2', '1', '2', '2', '2', '2']	1.9	['2', '2', '2', '2', '2', '2', '1', '1', '1', '2']	1.7	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['2', '2', '2', '1', '1', '2', '2', '2', '2', '2']	1.8
TrimmerPlus TB720 Turbo Blower with Flare Nozzle	i know it's 145 MPH but how many CFM is the blower ?	145 is a lot of power	1.3333333333333333	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0
Intex 14-Inch Krystal Clear Sand Filter Pump, 110-120 Volt with GFCI  (Older Model)	Does it work on 5000 gallon pools	My pool is approx 7650 gallons and it works fine.	2.6666666666666665	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '1', '2', '2', '2', '1', '2', '2']	1.8	['1', '2', '2', '2', '2', '1', '1', '1', '1', '2']	1.5	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0
Fiskars 32-Inch PowerGear Bypass Lopper	what is the country of origin on this product?	the country of origin is the us	2.0	['3', '3', '3', '2', '2', '3', '2', '3', '3', '2']	2.6	['2', '2', '2', '3', '3', '2', '2', '3', '2', '2']	2.3	['3', '3', '3', '3', '3', '3', '3', '3', '3', '3']	3.0	['2', '3', '3', '3', '2', '3', '2', '3', '3', '3']	2.7
WORX GT WG150.1 10-Inch 18-Volt 2-In-1 Cordless Electric Grass Trimmer/Edger  (Older Model)	how do you adjust  the worx150 for edge trimming?	by rotating the head and adjusting the handle.	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '3', '2', '2', '3', '2', '2', '3', '3', '2']	2.4	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0
Weber 10020 Smokey Joe 14-Inch Portable Grill	how does it compare to the Smokey Joe Gold grill	it is not as smokey as the smokey joe gold grill.	2.333333333333333	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0
Scotts 2000-20 Classic Push Reel Lawn Mower, 20-Inch	How easy is it to assemble?	very easy to assemble	3.0	['3', '3', '2', '3', '3', '3', '3', '3', '3', '3']	2.9	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['3', '3', '3', '3', '3', '3', '3', '3', '3', '3']	3.0	['3', '2', '2', '3', '3', '3', '3', '3', '2', '3']	2.7
Havahart 1030 Live Animal Two-Door Rabbit, Squirrel, Skunk, and Mink Cage Trap	What do YOU do with the animal after catching it?	release it into the wild	3.0	['2', '2', '2', '2', '3', '2', '3', '2', '3', '2']	2.3	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '3', '3', '3', '3', '3', '3', '2', '3', '3']	2.8	['2', '2', '3', '2', '3', '2', '2', '2', '2', '2']	2.2
Weber 40020 Smokey Joe Premium 14-Inch Portable Grill	how do i deal with ash	it's in the bottom until you dump it	2.6666666666666665	['2', '1', '2', '2', '2', '2', '2', '2', '2', '1']	1.8	['2', '1', '2', '2', '2', '2', '2', '1', '2', '2']	1.8	['2', '2', '1', '2', '3', '2', '1', '3', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0
Yard Machines 123cc 21-Inch Single Stage Gas Snow Thrower	Does this model have electric start? The picture shows a red button that typically is the start button, but the description does not list it as such.	It does not have electric start...at least, mine does not...and I purchased this one. 	3.0	['2', '3', '3', '2', '2', '3', '2', '2', '2', '3']	2.4	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '3', '2', '2', '3', '2', '2', '2', '2', '2']	2.2
"Stokes Select 38002 Tube Feeder, Four Feeding Ports, 15.25"" H"	How do you get this feeder apart to clean it?	a long bottle brush	2.0	['2', '1', '1', '1', '1', '2', '1', '1', '1', '1']	1.2	['2', '2', '1', '2', '2', '1', '2', '2', '2', '2']	1.8	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '2', '2', '2', '2', '1', '2', '1', '2', '2']	1.7
Real Flame Sierra Outdoor Gel-Fuel Fireplace, Black	how hard is this to put together  or did it come all assembled	it was bent and it wasn't possible to assemble parts	1.3333333333333333	['2', '1', '2', '2', '1', '2', '2', '2', '2', '2']	1.8	['2', '2', '2', '2', '2', '2', '1', '2', '1', '2']	1.8	['2', '2', '2', '2', '1', '2', '2', '2', '2', '2']	1.9	['2', '1', '2', '2', '1', '2', '2', '2', '2', '2']	1.8
Aquabot AB Aquabot Classic In-Ground Robotic Swimming Pool Cleaner	does it go up the sides	yes it does and does the stairs also,If the pool is slippery do to alge it cannot climb the sides	3.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '1', '2', '2', '2', '2', '2', '2', '2', '2']	1.9	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0
North States Bird Feeder	"Hello, I just bought a model 9023 bird feeder but it did not include the upper most cap which covers the ""hanging option"". It is a green feeder."	it is a silver feeder.	0.3333333333333333	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0
Bonide 037321001478 147 8-Ounce Infuse Systemic Disease Control Concentrate	How do you apply this to a very tall  oak tree?	a sprinkling of water	1.3333333333333333	['1', '1', '2', '1', '2', '2', '2', '2', '2', '2']	1.7	['2', '1', '2', '2', '1', '2', '2', '1', '2', '2']	1.7	['1', '1', '1', '1', '1', '1', '2', '1', '1', '1']	1.1	['2', '2', '1', '1', '1', '2', '2', '1', '2', '1']	1.5
Fiskars 18 Inch PowerGear Bypass Lopper (96256935J)	How useful is this lopper for cutting bamboo of 1 to 1 1/2 inch diameter?	it is very sharp and makes cuts like butter.	1.6666666666666667	['2', '1', '2', '2', '1', '2', '2', '2', '2', '2']	1.8	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '2', '1', '1', '1', '1', '1', '1', '1']	1.1	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0
"Gardman R299 Rustic Rattan Half Hive Hanging Wall Basket, 13"" Wide x 10"" Deep"	how wide is it ????? ?	11 x 45.7 x 13.4	2.6666666666666665	['2', '2', '2', '2', '2', '2', '3', '2', '2', '2']	2.1	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '3', '2', '3', '2', '2', '3', '2', '2', '2']	2.3	['3', '2', '3', '2', '2', '2', '2', '2', '3', '2']	2.3
Summer Escapes Quick Set Ring Pool, 12-Feet by 30-Inch (Discontinued by Manufacturer)	I am trying to get my pool to fill but the water is coming out? What could be wrong?	it is coming out of the tap too high.	1.3333333333333333	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0
Weber 60020 The Ranch Charcoal Kettle Grill	How do you take out the ash from the bottom? There is no one-touch cleaning system here, it seems.	there are three vents that are not made for ash removal.	1.0	['2', '1', '2', '2', '2', '1', '1', '1', '2', '1']	1.5	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '2', '1', '1', '1', '1', '1', '1', '2']	1.2	['1', '2', '2', '2', '1', '1', '2', '1', '2', '1']	1.5
Aspects ASP143 HummZinger Excel 16 oz Hanging Hummingbird Feeder	My problem is that the only places I have to hang a feeder are in the sun where the nectar gets so hot, it evaporates! Any suggestions?	it would be better if it held up in the hot sun.	0.6666666666666666	['1', '2', '1', '2', '1', '2', '2', '1', '1', '1']	1.4	['1', '1', '1', '1', '2', '1', '1', '2', '1', '1']	1.2	['1', '2', '2', '1', '1', '1', '1', '1', '1', '1']	1.2	['2', '2', '2', '2', '2', '2', '2', '2', '2', '1']	1.9
3 PC HIGH TOP BISTRO TABLE CHAIRS SET ~ SLINGBACK MATERIAL COMFORTABLE	Is there a weight limit for the chairs?	it comes with 2 cds	0.0	['0', '1', '0', '0', '0', '0', '0', '0', '1', '1']	0.3	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['0', '0', '0', '0', '0', '0', '0', '0', '0', '0']	0.0	['0', '0', '0', '0', '0', '0', '0', '0', '0', '0']	0.0
NEOGEN RODENTICIDE 45-Pack Ramik Rat and Mouse Bait Pail	where do the mice go to die	into a hole in the ground or in the woods.	2.6666666666666665	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '3', '3', '2', '2', '3', '3', '2', '2', '2']	2.4	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0
"Squirrel Buster Classic 5.3""x5.3""x32"" (w/hanger) Wild Bird Feeder with 4 Feeding Ports, 2.4lb Seed Capacity"	do cardinals feed at this feeder? or are they too heavy?	they are too heavy.	2.333333333333333	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '3', '2', '2', '2', '2', '2']	2.1	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0
E-Z UP ES100S Instant Shelter Canopy, 10 by 10', White	How long is the tent when it is fully folded up? I want to make sure it fits in my car.	it will take me forever to get it out of my car.	0.6666666666666666	['1', '0', '1', '1', '1', '0', '0', '1', '0', '1']	0.6	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '1', '0', '1', '1', '0', '1', '1', '1']	0.8	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0
Bounty Hunter TK4 Tracker IV Metal Detector	why do you need headphones?	to learn how to use them better	0.6666666666666666	['2', '1', '2', '2', '1', '1', '1', '1', '2', '1']	1.4	['1', '2', '1', '1', '1', '1', '2', '2', '2', '2']	1.5	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0
Bundle: Diatomaceous Earth Food Grade 50 Lb with Applicator	what difference between Diatomaceous Earth Food Grade 50 Lb and Diatomaceous Earth Crawling Insect Control DE	there is no applicator included	1.3333333333333333	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '2', '1', '1', '2', '1', '1', '1', '1', '1']	1.2	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0
Corry's 100099017 Slug and Snail Repellent Copper Tape, 15'	How think is this tape, dimensionally?	it is very sticky	0.6666666666666666	['2', '1', '1', '2', '2', '2', '1', '1', '1', '1']	1.4	['2', '1', '1', '1', '1', '2', '1', '1', '1', '1']	1.2	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['2', '1', '1', '1', '1', '1', '2', '1', '1', '2']	1.3
Rain Bird 25PJDAC Brass Impact Sprinkler, Adjustable 20° - 360° Pattern, 20 - 41' Spray Distance	hand held brass hose sprinklers	brass hose sprinklers are the gold standard.	0.3333333333333333	['2', '2', '2', '2', '2', '2', '2', '1', '2', '2']	1.9	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '3', '2', '2', '2', '2', '3', '3', '2']	2.3	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0
Intex 14-Inch Krystal Clear Sand Filter Pump, 110-120 Volt with GFCI  (Older Model)	will this work for a 22x52 pool? less than 11,000 gallons	This is my first time doing hip hop abs, and you don't need any other videos or experience to follow along.  I love it!	1.0	['0', '0', '0', '0', '0', '0', '0', '0', '0', '0']	0.0	['0', '1', '0', '0', '0', '0', '0', '1', '0', '0']	0.2	['0', '0', '0', '0', '0', '0', '0', '0', '0', '0']	0.0	['0', '0', '0', '0', '0', '0', '0', '0', '0', '0']	0.0
King Kooker 24WC Heavy-Duty 24-Inch Portable Propane Outdoor Cooker with 18-Inch Steel Wok	What's the capacity of this? I am looking to cook for about 15 people in this (12 lbs of meat plus 5 lbs of veggies) would this be big enough?	it is big enough to cook for at least four or five people.	2.6666666666666665	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0
Terro Liquid Ant Killer II, 1 oz,  Pack of 1	Match fail, how come 2oz is cheaper than 1oz?	it's cheaper than 2oz	1.0	['1', '1', '1', '1', '1', '0', '1', '1', '1', '0']	0.8	['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']	1.0	['2', '1', '1', '2', '1', '1', '2', '1', '1', '2']	1.4	['2', '2', '2', '1', '1', '1', '1', '2', '2', '2']	1.6
Safer Brand 5168 Diatomaceous Earth Powder Ant, Crawling Insect and Bed Bug Killer, 7 Ounces	How is it compared to boric acid?	it's as good as boric acid.	2.333333333333333	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0	['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']	2.0
